id,name,description,postcode,date_availability,expected_price,selling_price,bedrooms,living_area,facades,garage,garden,garden_area,garden_orientation,active,state
309,Housing Number 309,"A house. Here's a random fraction: 0,913042586027248",340,08/09/25,3800000,209,3,714,2,True,True,80,east,True,cancelled
310,Housing Number 310,"A house. Here's a random fraction: 0,562768146218848",250,09/07/25,3220000,210,2,415,4,True,True,10,west,True,sold
311,Housing Number 311,"A house. Here's a random fraction: 0,261310527228404",340,19/09/25,4080000,211,2,447,1,True,True,55,north,True,offer_received
312,Housing Number 312,"A house. Here's a random fraction: 0,0482641082976427",340,19/08/25,3220000,212,2,477,3,True,True,125,south,True,cancelled
313,Housing Number 313,"A house. Here's a random fraction: 0,686647382517164",340,22/09/25,3040000,213,3,390,3,True,True,25,south,True,cancelled
314,Housing Number 314,"A house. Here's a random fraction: 0,00488759255666901",165,11/06/25,4010000,214,3,508,0,True,True,80,south,True,sold
315,Housing Number 315,"A house. Here's a random fraction: 0,899789286894423",250,11/08/25,3200000,215,2,544,2,True,True,125,east,True,cancelled
316,Housing Number 316,"A house. Here's a random fraction: 0,697247828621758",250,06/07/25,2720000,216,3,442,5,True,True,25,east,True,cancelled
317,Housing Number 317,"A house. Here's a random fraction: 0,143138775529479",480,30/06/25,790000,217,1,87,3,True,True,115,west,True,new
318,Housing Number 318,"A house. Here's a random fraction: 0,670203337496618",340,16/06/25,1010000,218,1,151,2,True,True,70,south,True,cancelled
319,Housing Number 319,"A house. Here's a random fraction: 0,207690029037932",165,10/11/25,2810000,219,1,405,4,True,True,10,west,True,cancelled
320,Housing Number 320,"A house. Here's a random fraction: 0,514030315409696",165,11/10/25,4020000,220,2,545,0,True,True,20,south,True,cancelled
321,Housing Number 321,"A house. Here's a random fraction: 0,730900511702564",480,07/11/25,2480000,221,3,252,1,True,True,40,north,True,sold
322,Housing Number 322,"A house. Here's a random fraction: 0,507960679551649",480,11/11/25,2360000,222,2,282,4,True,True,100,west,True,offer_received
323,Housing Number 323,"A house. Here's a random fraction: 0,508865967847799",340,18/09/25,2310000,223,2,247,1,True,True,95,west,True,offer_received
324,Housing Number 324,"A house. Here's a random fraction: 0,651850729017781",250,31/07/25,2130000,224,1,225,3,True,True,100,south,True,cancelled
325,Housing Number 325,"A house. Here's a random fraction: 0,693977184129738",340,18/06/25,3410000,225,2,611,3,True,True,55,west,True,cancelled
326,Housing Number 326,"A house. Here's a random fraction: 0,3527281092762",480,04/07/25,3680000,226,3,526,5,True,True,75,west,True,sold
327,Housing Number 327,"A house. Here's a random fraction: 0,292395120575316",340,24/09/25,2050000,227,1,317,1,True,True,25,west,True,cancelled
328,Housing Number 328,"A house. Here's a random fraction: 0,892094659753572",165,08/07/25,4700000,228,4,740,4,True,True,35,east,True,sold
329,Housing Number 329,"A house. Here's a random fraction: 0,231692943698272",165,17/08/25,1490000,229,1,276,5,True,True,50,south,True,sold
330,Housing Number 330,"A house. Here's a random fraction: 0,714355554535679",480,26/07/25,1030000,230,1,184,3,True,True,70,south,True,cancelled
331,Housing Number 331,"A house. Here's a random fraction: 0,250227783999448",480,24/07/25,2010000,231,1,234,5,True,True,95,east,True,offer_received
332,Housing Number 332,"A house. Here's a random fraction: 0,00121636216815754",340,06/10/25,2450000,232,2,271,3,True,True,35,north,True,sold
333,Housing Number 333,"A house. Here's a random fraction: 0,727626200983776",250,19/11/25,2070000,233,1,258,3,True,True,115,north,True,cancelled
334,Housing Number 334,"A house. Here's a random fraction: 0,936368696391668",480,17/10/25,3210000,234,2,479,0,True,True,95,east,True,new
335,Housing Number 335,"A house. Here's a random fraction: 0,116818285281377",165,07/09/25,370000,235,1,43,3,True,True,20,west,True,sold
336,Housing Number 336,"A house. Here's a random fraction: 0,434564661143503",165,29/06/25,2610000,236,1,510,0,True,True,100,west,True,sold
337,Housing Number 337,"A house. Here's a random fraction: 0,267043554249979",340,25/06/25,3360000,237,1,424,5,True,True,15,east,True,offer_received
338,Housing Number 338,"A house. Here's a random fraction: 0,903949574985773",250,19/08/25,1610000,238,1,307,0,True,True,120,south,True,new
339,Housing Number 339,"A house. Here's a random fraction: 0,460629675812522",480,31/08/25,3910000,239,2,434,0,True,True,85,south,True,cancelled
340,Housing Number 340,"A house. Here's a random fraction: 0,792193924910105",165,14/10/25,3010000,240,2,581,5,True,True,85,west,True,sold
341,Housing Number 341,"A house. Here's a random fraction: 0,249920650986043",250,05/11/25,1580000,241,1,294,1,True,True,35,east,True,cancelled
342,Housing Number 342,"A house. Here's a random fraction: 0,465193615047734",340,28/08/25,3260000,242,2,637,1,True,True,75,north,True,sold
343,Housing Number 343,"A house. Here's a random fraction: 0,459731874211568",340,14/09/25,1960000,243,1,301,1,True,True,20,north,True,sold
344,Housing Number 344,"A house. Here's a random fraction: 0,0801474433150133",340,19/11/25,4530000,244,2,627,4,True,True,25,north,True,offer_received
345,Housing Number 345,"A house. Here's a random fraction: 0,998054631672697",340,06/11/25,4360000,245,2,815,5,True,True,120,south,True,sold
346,Housing Number 346,"A house. Here's a random fraction: 0,150369867189177",480,22/09/25,3500000,246,2,682,4,True,True,75,north,True,sold
347,Housing Number 347,"A house. Here's a random fraction: 0,804810637833654",165,01/10/25,4770000,247,2,697,2,True,True,5,south,True,cancelled
348,Housing Number 348,"A house. Here's a random fraction: 0,261388596402917",165,10/09/25,1870000,248,2,361,5,True,True,5,east,True,cancelled
349,Housing Number 349,"A house. Here's a random fraction: 0,663146016136472",480,21/08/25,2490000,249,1,441,1,True,True,105,north,True,cancelled
350,Housing Number 350,"A house. Here's a random fraction: 0,187589152098278",250,25/07/25,3480000,250,2,587,5,True,True,70,north,True,offer_received
351,Housing Number 351,"A house. Here's a random fraction: 0,8995262382355",480,27/05/25,3350000,251,2,598,2,True,True,115,south,True,cancelled
352,Housing Number 352,"A house. Here's a random fraction: 0,178967855670738",165,10/06/25,260000,252,1,35,1,True,True,100,west,True,sold
353,Housing Number 353,"A house. Here's a random fraction: 0,141171200553154",250,27/05/25,4080000,253,2,442,4,True,True,55,south,True,cancelled
354,Housing Number 354,"A house. Here's a random fraction: 0,787806991975443",250,09/10/25,1160000,254,1,206,4,True,True,10,south,True,cancelled
355,Housing Number 355,"A house. Here's a random fraction: 0,559121107896084",165,25/08/25,290000,255,1,33,3,True,True,45,west,True,offer_received
356,Housing Number 356,"A house. Here's a random fraction: 0,9472918300554",480,19/06/25,3370000,256,3,417,4,True,True,80,north,True,offer_received
357,Housing Number 357,"A house. Here's a random fraction: 0,886134576887835",480,18/06/25,2680000,257,2,473,3,True,True,15,south,True,offer_accepted
358,Housing Number 358,"A house. Here's a random fraction: 0,684632957254446",480,06/08/25,4210000,258,5,604,0,True,True,80,west,True,cancelled
359,Housing Number 359,"A house. Here's a random fraction: 0,00998171424912068",480,11/11/25,3780000,259,2,385,2,True,True,10,south,True,sold
360,Housing Number 360,"A house. Here's a random fraction: 0,453823539905517",480,29/08/25,780000,260,1,97,3,True,True,65,north,True,cancelled
361,Housing Number 361,"A house. Here's a random fraction: 0,728564926101043",250,15/10/25,900000,261,1,145,0,True,True,90,west,True,new
362,Housing Number 362,"A house. Here's a random fraction: 0,975461602475387",340,13/08/25,1960000,262,2,392,3,True,True,20,north,True,new
363,Housing Number 363,"A house. Here's a random fraction: 0,156014036962304",340,13/08/25,2750000,263,1,388,1,True,True,120,north,True,offer_received
364,Housing Number 364,"A house. Here's a random fraction: 0,296286457642937",250,04/06/25,440000,264,1,75,0,True,True,65,east,True,sold
365,Housing Number 365,"A house. Here's a random fraction: 0,385113430166593",340,28/06/25,2930000,265,3,584,0,True,True,85,east,True,offer_accepted
366,Housing Number 366,"A house. Here's a random fraction: 0,584422930702628",340,27/08/25,1380000,266,1,177,5,True,True,50,south,True,sold
367,Housing Number 367,"A house. Here's a random fraction: 0,299425540107007",165,11/06/25,4300000,267,3,584,0,True,True,55,west,True,sold
368,Housing Number 368,"A house. Here's a random fraction: 0,532853387938569",250,17/09/25,4640000,268,3,740,0,True,True,120,east,True,sold
369,Housing Number 369,"A house. Here's a random fraction: 0,85047189905647",165,21/11/25,4110000,269,2,470,4,True,True,125,south,True,cancelled
370,Housing Number 370,"A house. Here's a random fraction: 0,12632499804333",165,26/09/25,1690000,270,1,321,2,True,True,100,south,True,offer_received
371,Housing Number 371,"A house. Here's a random fraction: 0,279794371002043",480,05/09/25,3840000,271,2,423,2,True,True,80,south,True,sold
372,Housing Number 372,"A house. Here's a random fraction: 0,925891383521431",340,11/11/25,3800000,272,1,753,4,True,True,40,north,True,sold
373,Housing Number 373,"A house. Here's a random fraction: 0,686093023465966",340,15/06/25,2030000,273,1,300,4,True,True,120,west,True,cancelled
374,Housing Number 374,"A house. Here's a random fraction: 0,925663427178253",165,30/06/25,430000,274,1,73,3,True,True,75,south,True,offer_accepted
375,Housing Number 375,"A house. Here's a random fraction: 0,809993684184868",480,26/08/25,2500000,275,1,497,4,True,True,30,west,True,offer_received
376,Housing Number 376,"A house. Here's a random fraction: 0,808607566271824",165,04/08/25,4700000,276,4,691,1,True,True,110,south,True,offer_accepted
377,Housing Number 377,"A house. Here's a random fraction: 0,0128387209899814",165,30/08/25,3080000,277,2,412,3,True,True,45,north,True,offer_received
378,Housing Number 378,"A house. Here's a random fraction: 0,32853306222911",480,20/10/25,3030000,278,1,557,3,True,True,40,east,True,offer_received
379,Housing Number 379,"A house. Here's a random fraction: 0,250198798571288",250,11/09/25,4750000,279,3,512,2,True,True,110,north,True,sold
380,Housing Number 380,"A house. Here's a random fraction: 0,830359045437588",340,10/06/25,1440000,280,1,268,0,True,True,85,south,True,sold
381,Housing Number 381,"A house. Here's a random fraction: 0,200635994372174",480,13/08/25,2170000,281,2,257,4,True,True,30,north,True,new
382,Housing Number 382,"A house. Here's a random fraction: 0,295920634044633",250,10/08/25,480000,282,1,65,3,True,True,100,north,True,offer_accepted
383,Housing Number 383,"A house. Here's a random fraction: 0,415720158444237",340,12/10/25,3640000,283,1,591,5,True,True,5,east,True,cancelled
384,Housing Number 384,"A house. Here's a random fraction: 0,473039725981248",165,25/09/25,260000,284,1,42,5,True,True,20,west,True,cancelled
385,Housing Number 385,"A house. Here's a random fraction: 0,555186486648241",480,25/06/25,3550000,285,2,676,1,True,True,30,east,True,sold
386,Housing Number 386,"A house. Here's a random fraction: 0,874310489370457",480,08/07/25,750000,286,1,126,5,True,True,60,east,True,offer_accepted
387,Housing Number 387,"A house. Here's a random fraction: 0,846525770028985",165,09/09/25,1090000,287,1,124,5,True,True,110,south,True,offer_received
388,Housing Number 388,"A house. Here's a random fraction: 0,34104193655025",165,16/07/25,1530000,288,1,240,5,True,True,70,south,True,offer_received
389,Housing Number 389,"A house. Here's a random fraction: 0,270072534161732",250,01/10/25,1340000,289,1,212,1,True,True,45,south,True,cancelled
390,Housing Number 390,"A house. Here's a random fraction: 0,805400431241151",340,19/10/25,2360000,290,1,435,3,True,True,15,east,True,cancelled
391,Housing Number 391,"A house. Here's a random fraction: 0,229195324183439",165,26/08/25,4930000,291,3,979,3,True,True,30,south,True,new
392,Housing Number 392,"A house. Here's a random fraction: 0,474565530851742",250,10/08/25,2680000,292,2,499,3,True,True,55,south,True,offer_accepted
393,Housing Number 393,"A house. Here's a random fraction: 0,533942356048185",165,30/06/25,4530000,293,2,836,4,True,True,45,north,True,sold
394,Housing Number 394,"A house. Here's a random fraction: 0,735124860752459",165,08/10/25,3930000,294,2,747,5,True,True,70,west,True,sold
395,Housing Number 395,"A house. Here's a random fraction: 0,17322801148983",165,28/05/25,2360000,295,1,333,2,True,True,5,west,True,sold
396,Housing Number 396,"A house. Here's a random fraction: 0,765367743460013",340,07/07/25,3110000,296,1,565,3,True,True,75,west,True,offer_received
397,Housing Number 397,"A house. Here's a random fraction: 0,411852932605671",340,21/11/25,2610000,297,1,518,3,True,True,65,south,True,new
398,Housing Number 398,"A house. Here's a random fraction: 0,357794658302555",250,17/06/25,3090000,298,1,395,4,True,True,120,south,True,cancelled
399,Housing Number 399,"A house. Here's a random fraction: 0,402834900812988",340,18/08/25,4330000,299,2,840,5,True,True,45,west,True,sold
400,Housing Number 400,"A house. Here's a random fraction: 0,0626240040834766",165,22/11/25,3030000,300,2,551,5,True,True,75,east,True,offer_received
401,Housing Number 401,"A house. Here's a random fraction: 0,35324270775445",480,28/06/25,1750000,301,1,314,3,True,True,120,north,True,cancelled
402,Housing Number 402,"A house. Here's a random fraction: 0,0398568161933329",250,05/06/25,4950000,302,2,954,5,True,True,20,south,True,cancelled
403,Housing Number 403,"A house. Here's a random fraction: 0,163799872252802",340,04/09/25,3420000,303,2,526,0,True,True,30,north,True,sold
404,Housing Number 404,"A house. Here's a random fraction: 0,514395176890504",250,11/11/25,960000,304,1,149,0,True,True,40,south,True,cancelled
405,Housing Number 405,"A house. Here's a random fraction: 0,652564198061028",250,24/06/25,1790000,305,1,318,5,True,True,35,west,True,offer_received
406,Housing Number 406,"A house. Here's a random fraction: 0,836941260501394",480,21/09/25,1340000,306,1,170,5,True,True,100,north,True,sold
407,Housing Number 407,"A house. Here's a random fraction: 0,764319752645648",340,15/10/25,1070000,307,1,141,2,True,True,75,south,True,sold
408,Housing Number 408,"A house. Here's a random fraction: 0,975215776922013",165,08/10/25,2120000,308,1,252,1,True,True,80,south,True,sold
409,Housing Number 409,"A house. Here's a random fraction: 0,756602961554583",250,12/09/25,2580000,309,1,500,5,True,True,80,east,True,offer_received
410,Housing Number 410,"A house. Here's a random fraction: 0,328642422834759",165,06/06/25,4210000,310,3,800,2,True,True,105,north,True,offer_received
411,Housing Number 411,"A house. Here's a random fraction: 0,89301224092595",340,04/10/25,4830000,311,4,699,5,True,True,120,west,True,offer_received
412,Housing Number 412,"A house. Here's a random fraction: 0,324775190878366",340,16/08/25,4990000,312,3,908,0,True,True,75,south,True,offer_received
413,Housing Number 413,"A house. Here's a random fraction: 0,902151316591415",480,28/06/25,4510000,313,2,632,0,True,True,45,east,True,cancelled
414,Housing Number 414,"A house. Here's a random fraction: 0,0475674787819376",250,04/08/25,3360000,314,2,511,3,True,True,100,east,True,offer_received
415,Housing Number 415,"A house. Here's a random fraction: 0,231824996332947",480,12/10/25,2410000,315,1,275,2,True,True,60,north,True,cancelled
416,Housing Number 416,"A house. Here's a random fraction: 0,539753350166606",250,09/07/25,2140000,316,1,397,2,True,True,100,north,True,sold
417,Housing Number 417,"A house. Here's a random fraction: 0,153885019625106",250,20/07/25,4550000,317,4,572,3,True,True,70,north,True,new
418,Housing Number 418,"A house. Here's a random fraction: 0,292371814817884",480,06/11/25,4450000,318,3,870,3,True,True,65,west,True,sold
419,Housing Number 419,"A house. Here's a random fraction: 0,182129553120061",480,31/07/25,460000,319,1,89,2,True,True,115,south,True,cancelled
420,Housing Number 420,"A house. Here's a random fraction: 0,942625983326745",250,04/06/25,670000,320,1,93,0,True,True,45,west,True,sold
421,Housing Number 421,"A house. Here's a random fraction: 0,954998902077201",165,02/07/25,2800000,321,3,352,4,True,True,15,south,True,sold
422,Housing Number 422,"A house. Here's a random fraction: 0,809423611376186",250,01/08/25,1050000,322,1,115,1,True,True,125,south,True,sold
423,Housing Number 423,"A house. Here's a random fraction: 0,390134220845328",165,14/11/25,4240000,323,3,685,3,True,True,25,east,True,cancelled
424,Housing Number 424,"A house. Here's a random fraction: 0,0224032210211396",250,23/10/25,1540000,324,1,302,2,True,True,80,south,True,cancelled
425,Housing Number 425,"A house. Here's a random fraction: 0,543443468064076",480,03/06/25,1000000,325,1,155,5,True,True,80,west,True,cancelled
426,Housing Number 426,"A house. Here's a random fraction: 0,143446194359352",340,10/10/25,2960000,326,1,424,3,True,True,50,west,True,offer_received
427,Housing Number 427,"A house. Here's a random fraction: 0,0571337135728216",165,04/11/25,810000,327,1,137,2,True,True,105,east,True,new
428,Housing Number 428,"A house. Here's a random fraction: 0,700580058875913",340,14/11/25,440000,328,1,79,3,True,True,65,south,True,cancelled
429,Housing Number 429,"A house. Here's a random fraction: 0,877226837880928",340,20/11/25,4300000,329,4,443,5,True,True,10,north,True,sold
430,Housing Number 430,"A house. Here's a random fraction: 0,425852973294464",165,19/09/25,3560000,330,2,595,0,True,True,20,north,True,cancelled
431,Housing Number 431,"A house. Here's a random fraction: 0,656227516840467",480,31/07/25,1710000,331,1,239,0,True,True,40,west,True,sold
432,Housing Number 432,"A house. Here's a random fraction: 0,462010187522993",340,30/05/25,1900000,332,1,200,2,True,True,50,west,True,sold
433,Housing Number 433,"A house. Here's a random fraction: 0,749130457693685",340,17/07/25,680000,333,1,131,4,True,True,85,south,True,cancelled
434,Housing Number 434,"A house. Here's a random fraction: 0,688896101750894",480,16/11/25,470000,334,1,71,2,True,True,25,north,True,cancelled
435,Housing Number 435,"A house. Here's a random fraction: 0,0979231111217145",340,30/05/25,840000,335,1,146,1,True,True,35,east,True,sold
436,Housing Number 436,"A house. Here's a random fraction: 0,0975585925567531",480,13/07/25,4210000,336,2,754,4,True,True,5,north,True,sold
437,Housing Number 437,"A house. Here's a random fraction: 0,300186116530539",480,01/08/25,1790000,337,1,222,2,True,True,10,east,True,sold
438,Housing Number 438,"A house. Here's a random fraction: 0,61485152248185",250,06/06/25,3010000,338,4,570,5,True,True,65,east,True,cancelled
439,Housing Number 439,"A house. Here's a random fraction: 0,715303934153065",480,22/06/25,2550000,339,2,433,2,True,True,120,west,True,new
440,Housing Number 440,"A house. Here's a random fraction: 0,0821544150707578",480,05/09/25,3680000,340,4,722,5,True,True,85,south,True,offer_accepted
441,Housing Number 441,"A house. Here's a random fraction: 0,9033424745137",165,26/09/25,2510000,341,2,439,5,True,True,5,west,True,sold
442,Housing Number 442,"A house. Here's a random fraction: 0,744694368789727",340,23/07/25,4680000,342,2,628,3,True,True,15,east,True,sold
443,Housing Number 443,"A house. Here's a random fraction: 0,19996693702267",165,26/08/25,2000000,343,1,263,3,True,True,45,south,True,cancelled
444,Housing Number 444,"A house. Here's a random fraction: 0,818334455743214",250,04/07/25,4830000,344,4,797,1,True,True,30,west,True,sold
445,Housing Number 445,"A house. Here's a random fraction: 0,00488509581976279",250,27/10/25,4660000,345,3,828,3,True,True,85,south,True,cancelled
446,Housing Number 446,"A house. Here's a random fraction: 0,695791937892099",340,04/10/25,1840000,346,1,320,4,True,True,35,west,True,offer_accepted
447,Housing Number 447,"A house. Here's a random fraction: 0,46368942085215",340,03/11/25,950000,347,1,159,0,True,True,55,east,True,cancelled
448,Housing Number 448,"A house. Here's a random fraction: 0,487857911904894",480,06/10/25,2220000,348,3,361,3,True,True,85,south,True,cancelled
449,Housing Number 449,"A house. Here's a random fraction: 0,478159021213232",165,29/05/25,390000,349,1,44,4,True,True,50,south,True,cancelled
450,Housing Number 450,"A house. Here's a random fraction: 0,0880321079503294",165,10/10/25,1880000,350,1,347,2,True,True,65,north,True,cancelled
451,Housing Number 451,"A house. Here's a random fraction: 0,0111714940115814",340,28/05/25,2280000,351,2,382,4,True,True,75,west,True,cancelled
452,Housing Number 452,"A house. Here's a random fraction: 0,782347961240268",165,16/10/25,4900000,352,3,847,3,True,True,100,west,True,offer_received
453,Housing Number 453,"A house. Here's a random fraction: 0,583637963111669",480,23/07/25,270000,353,1,41,3,True,True,115,south,True,offer_accepted
454,Housing Number 454,"A house. Here's a random fraction: 0,398772280009627",165,13/07/25,380000,354,1,51,1,True,True,65,south,True,cancelled
455,Housing Number 455,"A house. Here's a random fraction: 0,85537894930865",340,13/06/25,1020000,355,2,187,3,True,True,40,north,True,sold
456,Housing Number 456,"A house. Here's a random fraction: 0,875622701897393",165,05/11/25,4080000,356,2,555,3,True,True,45,south,True,sold
457,Housing Number 457,"A house. Here's a random fraction: 0,903751260951582",480,29/07/25,1700000,357,1,193,5,True,True,60,east,True,new
458,Housing Number 458,"A house. Here's a random fraction: 0,616126823561368",165,12/07/25,2120000,358,1,400,2,True,True,115,north,True,cancelled
459,Housing Number 459,"A house. Here's a random fraction: 0,986445766027663",250,17/07/25,4360000,359,2,458,1,True,True,90,east,True,sold
460,Housing Number 460,"A house. Here's a random fraction: 0,30581922494515",480,20/07/25,2060000,360,2,275,0,True,True,110,west,True,cancelled
461,Housing Number 461,"A house. Here's a random fraction: 0,100015385699312",340,12/11/25,3740000,361,1,455,4,True,True,30,south,True,cancelled
462,Housing Number 462,"A house. Here's a random fraction: 0,994052831899486",480,14/07/25,2730000,362,1,308,3,True,True,15,east,True,offer_received
463,Housing Number 463,"A house. Here's a random fraction: 0,199604472174181",250,19/06/25,3680000,363,2,436,2,True,True,20,south,True,offer_accepted
464,Housing Number 464,"A house. Here's a random fraction: 0,835539151097465",340,13/11/25,3900000,364,2,708,3,True,True,70,north,True,cancelled
465,Housing Number 465,"A house. Here's a random fraction: 0,124619558233388",480,14/09/25,220000,365,1,44,0,True,True,40,north,True,sold
466,Housing Number 466,"A house. Here's a random fraction: 0,0395771932953378",165,06/11/25,4690000,366,3,516,5,True,True,15,south,True,offer_received
467,Housing Number 467,"A house. Here's a random fraction: 0,0748778228698949",250,05/09/25,980000,367,1,105,0,True,True,110,east,True,cancelled
468,Housing Number 468,"A house. Here's a random fraction: 0,56194636422735",250,28/08/25,3290000,368,2,648,4,True,True,15,south,True,sold
469,Housing Number 469,"A house. Here's a random fraction: 0,201029627547535",340,04/06/25,3050000,369,2,470,5,True,True,105,west,True,offer_accepted
470,Housing Number 470,"A house. Here's a random fraction: 0,965734809821514",480,04/10/25,500000,370,1,95,4,True,True,65,east,True,cancelled
471,Housing Number 471,"A house. Here's a random fraction: 0,970870459005175",480,21/08/25,1190000,371,1,147,0,True,True,80,north,True,offer_received
472,Housing Number 472,"A house. Here's a random fraction: 0,0150671830133756",250,22/10/25,780000,372,1,112,1,True,True,45,west,True,sold
473,Housing Number 473,"A house. Here's a random fraction: 0,0196695061298498",480,22/06/25,1450000,373,1,248,0,True,True,30,west,True,offer_accepted
474,Housing Number 474,"A house. Here's a random fraction: 0,499238683865407",340,26/07/25,1780000,374,1,234,5,True,True,40,north,True,cancelled
475,Housing Number 475,"A house. Here's a random fraction: 0,78991991159504",165,30/08/25,4740000,375,2,907,0,True,True,60,west,True,sold
476,Housing Number 476,"A house. Here's a random fraction: 0,942151167608304",480,12/11/25,4610000,376,2,485,3,True,True,80,east,True,sold
477,Housing Number 477,"A house. Here's a random fraction: 0,715859696959881",340,28/09/25,4540000,377,4,470,0,True,True,75,south,True,offer_received
478,Housing Number 478,"A house. Here's a random fraction: 0,282649237720327",340,31/10/25,4260000,378,2,795,2,True,True,85,west,True,sold
479,Housing Number 479,"A house. Here's a random fraction: 0,819088870986577",250,25/08/25,4880000,379,3,858,3,True,True,40,south,True,sold
480,Housing Number 480,"A house. Here's a random fraction: 0,264088056169398",480,23/10/25,4960000,380,5,976,1,True,True,75,west,True,sold
481,Housing Number 481,"A house. Here's a random fraction: 0,184682770390233",250,02/09/25,2380000,381,1,267,0,True,True,10,south,True,offer_received
482,Housing Number 482,"A house. Here's a random fraction: 0,404584418186033",340,30/07/25,2480000,382,1,312,5,True,True,35,south,True,cancelled
483,Housing Number 483,"A house. Here's a random fraction: 0,858734561628953",165,04/08/25,3210000,383,3,513,0,True,True,45,east,True,cancelled
484,Housing Number 484,"A house. Here's a random fraction: 0,781230688361821",250,29/08/25,1440000,384,1,204,2,True,True,70,west,True,new
485,Housing Number 485,"A house. Here's a random fraction: 0,376528270035894",340,11/06/25,4980000,385,3,565,0,True,True,45,west,True,cancelled
486,Housing Number 486,"A house. Here's a random fraction: 0,554382494540709",480,05/09/25,2880000,386,1,442,1,True,True,90,north,True,offer_received
487,Housing Number 487,"A house. Here's a random fraction: 0,695027589911914",250,26/09/25,4410000,387,2,482,5,True,True,85,east,True,offer_accepted
488,Housing Number 488,"A house. Here's a random fraction: 0,891604251039136",250,02/06/25,4630000,388,2,529,0,True,True,20,north,True,new
489,Housing Number 489,"A house. Here's a random fraction: 0,343039525381032",340,13/06/25,3420000,389,2,447,5,True,True,100,west,True,offer_received
490,Housing Number 490,"A house. Here's a random fraction: 0,52616924411645",340,24/09/25,970000,390,1,134,1,True,True,35,west,True,sold
491,Housing Number 491,"A house. Here's a random fraction: 0,293928406758382",165,05/07/25,1930000,391,1,326,5,True,True,40,south,True,cancelled
492,Housing Number 492,"A house. Here's a random fraction: 0,391609265603033",480,13/09/25,3100000,392,1,508,1,True,True,70,east,True,sold
493,Housing Number 493,"A house. Here's a random fraction: 0,0384033957838961",250,30/08/25,3830000,393,4,544,4,True,True,65,west,True,cancelled
494,Housing Number 494,"A house. Here's a random fraction: 0,590524380179893",165,07/08/25,790000,394,1,117,0,True,True,115,east,True,new
495,Housing Number 495,"A house. Here's a random fraction: 0,736433677947623",250,11/06/25,3060000,395,1,342,2,True,True,120,east,True,sold
496,Housing Number 496,"A house. Here's a random fraction: 0,085284316304293",480,01/09/25,3310000,396,4,446,1,True,True,5,north,True,cancelled
497,Housing Number 497,"A house. Here's a random fraction: 0,542382138629735",480,05/09/25,1120000,397,1,138,0,True,True,40,east,True,cancelled
498,Housing Number 498,"A house. Here's a random fraction: 0,408619591769835",340,16/11/25,4850000,398,5,623,0,True,True,25,north,True,offer_received
499,Housing Number 499,"A house. Here's a random fraction: 0,257164640865366",340,19/11/25,2390000,399,2,265,5,True,True,45,east,True,offer_received
500,Housing Number 500,"A house. Here's a random fraction: 0,188715410382659",250,22/10/25,3590000,400,1,554,1,True,True,125,north,True,new
501,Housing Number 501,"A house. Here's a random fraction: 0,584312992239428",340,13/07/25,1450000,401,1,279,2,True,True,80,north,True,cancelled
502,Housing Number 502,"A house. Here's a random fraction: 0,994879083698342",340,02/07/25,1660000,402,1,175,4,True,True,45,south,True,cancelled
503,Housing Number 503,"A house. Here's a random fraction: 0,913429911119481",480,07/10/25,1970000,403,1,215,0,True,True,70,east,True,sold
504,Housing Number 504,"A house. Here's a random fraction: 0,491449584771849",165,11/09/25,4170000,404,2,519,5,True,True,120,south,True,cancelled
505,Housing Number 505,"A house. Here's a random fraction: 0,589597049654912",480,28/10/25,4680000,405,3,605,1,True,True,35,south,True,offer_accepted
506,Housing Number 506,"A house. Here's a random fraction: 0,951121209492979",340,27/10/25,2470000,406,1,281,4,True,True,80,west,True,sold
507,Housing Number 507,"A house. Here's a random fraction: 0,999233822773373",340,30/07/25,4310000,407,2,640,0,True,True,50,south,True,sold
508,Housing Number 508,"A house. Here's a random fraction: 0,74485446388861",165,27/09/25,950000,408,1,135,0,True,True,80,east,True,offer_received
509,Housing Number 509,"A house. Here's a random fraction: 0,45050254891389",165,11/07/25,2150000,409,2,269,1,True,True,80,east,True,sold
510,Housing Number 510,"A house. Here's a random fraction: 0,221488827996413",480,04/08/25,1010000,410,1,118,2,True,True,15,east,True,sold
511,Housing Number 511,"A house. Here's a random fraction: 0,950565440836674",340,27/05/25,1130000,411,2,188,2,True,True,55,south,True,cancelled
512,Housing Number 512,"A house. Here's a random fraction: 0,451101165466011",165,13/08/25,1250000,412,1,198,1,True,True,65,west,True,offer_accepted
513,Housing Number 513,"A house. Here's a random fraction: 0,56537846772923",165,30/09/25,570000,413,1,97,5,True,True,110,south,True,cancelled
514,Housing Number 514,"A house. Here's a random fraction: 0,632536674540179",250,14/10/25,3270000,414,3,447,2,True,True,90,south,True,sold
515,Housing Number 515,"A house. Here's a random fraction: 0,00798333289607715",165,09/06/25,310000,415,1,59,1,True,True,85,south,True,cancelled
516,Housing Number 516,"A house. Here's a random fraction: 0,982812030230227",340,07/11/25,4330000,416,2,554,5,True,True,110,south,True,sold
517,Housing Number 517,"A house. Here's a random fraction: 0,183225036640589",165,30/08/25,4690000,417,2,706,2,True,True,100,east,True,cancelled
518,Housing Number 518,"A house. Here's a random fraction: 0,630893662509611",250,08/08/25,4650000,418,2,770,2,True,True,40,east,True,new
